"gi_id","gi_name","upt_id","ultg_id","lat","lng","exact_map_url","provenance_source_url","verification_status"
"MTU-GI-UPT-MDN-GI-150KV-TANJUNG-AWAR-AWAR-3a041f23e60f359c","GI 150KV TANJUNG AWAR AWAR","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TANJUNG%20AWAR%20AWAR&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-150KV-TUBAN","GI 150KV TUBAN","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-6.8889544","112.0346865","https://www.google.com/maps/search/?api=1&query=-6.8889544,112.0346865","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TUBAN&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-30KV-DOLOPO-7275c9c1a2e6e566","GI 30KV DOLOPO","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","-7.747163","111.528364","https://www.google.com/maps/search/?api=1&query=-7.747163,111.528364","https://www.google.com/search?tbm=map&q=GI%20DOLOPO&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-MDN-GI-30KV-GIRINGAN-68577853a06f25b1","GI 30KV GIRINGAN","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GIRINGAN&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-30KV-GOLANG-2ecad890eef979aa","GI 30KV GOLANG","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","-7.1962624","111.5165819","https://www.google.com/maps/search/?api=1&query=-7.1962624,111.5165819","https://www.google.com/search?tbm=map&q=GI%20GOLANG&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-MDN-GI-30KV-NGEBEL-0c5a6f22605afa40","GI 30KV NGEBEL","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NGEBEL&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-30KV-TULUNGAGUNG-903d8d0c76afa936","GI 30KV TULUNGAGUNG","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TULUNGAGUNG&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-70KV-BANARAN","GI 70KV BANARAN","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20BANARAN&hl=id&gl=id","manual_review_duplicate_voltage"
"MTU-GI-UPT-MDN-GI-70KV-BLITAR-BARU","GI 70KV BLITAR BARU","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BLITAR%20BARU&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-70KV-CARUBAN-bafc995256555b9c","GI 70KV CARUBAN","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20CARUBAN&hl=id&gl=id","unverified"
