id,normalized_name,upt_id,ultg_id
MTU-GI-UPT-GRS-GI-150KV-SUMENEP-4ed85b2f4ccae079,GI 150KV SUMENEP,UPT-GRS,MTU-ULTG-UPT-GRS-SAMPANG
MTU-GI-UPT-GRS-GI-150KV-WILMAR-21e8b2bad98d82ef,GI 150KV WILMAR,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-70KV-BARATA-b7a6cc1310843034,GI 70KV BARATA,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-70KV-MANYAR-4d8af2db31429d66,GI 70KV MANYAR,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-70KV-MASPIONSBM-6e6b4f3e7e608ac4,GI 70KV MASPIONSBM,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-70KV-SEGOROMADU,GI 70KV SEGOROMADU,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GI-70KV-SEMENGRESIK-12c165ccfb10ded2,GI 70KV SEMENGRESIK,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GIS-150KV-GRESIK-cef86f1f6e699c73,GIS 150KV GRESIK,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GIS-150KV-TANDES-bc49cb78bb7585e8,GIS 150KV TANDES,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-GRS-GISTET-500KV-GRESIK-244d032dca4d67ea,GISTET 500KV GRESIK,UPT-GRS,MTU-ULTG-UPT-GRS-GRESIK
MTU-GI-UPT-MDN-GI-150KV-BABAT,GI 150KV BABAT,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-150KV-BANARAN-f8385c5552475aca,GI 150KV BANARAN,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-150KV-BOJONEGORO-f6abd84f112ba707,GI 150KV BOJONEGORO,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-150KV-JATIGEDONG-30f1115f86bd204c,GI 150KV JATIGEDONG,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-150KV-JAYAKERTAS-f94f3f0c9c98a7e6,GI 150KV JAYAKERTAS,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-150KV-JOMBANG-c6e5785371249833,GI 150KV JOMBANG,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-150KV-KEDIRI,GI 150KV KEDIRI,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-150KV-KEREK,GI 150KV KEREK,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
