"gi_id","gi_name","upt_id","ultg_id","lat","lng","place_id","poi_title","poi_address","source_url","status"
"MTU-GI-UPT-BLI-GI-150KV-GIANYAR","GI 150KV GIANYAR","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.5615195","115.33497759999999","0x2dd2142a6fdcd45b:0x789667969b70779","Gardu Induk Gianyar","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GIANYAR&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-GILIMANUK","GI 150KV GILIMANUK","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.1746641","114.44115149999999","0x2dd1439d3325c6f5:0x5c624536c93cd8c1","Gardu Induk Gilimanuk","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GILIMANUK&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-GILITIMUR","GI 150KV GILITIMUR","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.1481496","112.71899599999999","0x2dd803fb6526173f:0xbdedddb98789e543","PT. PLN (Persero) Gardu Induk 150kV Gili Timur","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GILITIMUR&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-GONDANGWETAN","GI 150KV GONDANGWETAN","UPT-PBG","MTU-ULTG-UPT-PBG-BANGIL","-7.687111","112.8951273","0x2dd7cf30cad1647f:0x82f0f1f96beeced4","Gardu Induk Gondangwetan (PLN)","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GONDANGWETAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-GRATI","GI 150KV GRATI","UPT-PBG","MTU-ULTG-UPT-PBG-PROBOLINGGO","-7.6541694","113.0250726","0x2dd7b9004c87c3f3:0xbf93332b37c8a54c","GITET 500 KV GRATI","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GRATI&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-GULUK-GULUK","GI 150KV GULUK GULUK","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.0659116","113.6852705","0x2dd9df6d814c2f19:0xd84a7d9fa66ef49b","PT. PLN (Persero) Gardu Induk 150kV Guluk Guluk","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GULUK%20GULUK&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-GULUK-GULUK-e667ca710e304e4c","GI 150KV GULUK-GULUK","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.0659116","113.6852705","0x2dd9df6d814c2f19:0xd84a7d9fa66ef49b","PT. PLN (Persero) Gardu Induk 150kV Guluk Guluk","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GULUK-GULUK&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-150KV-ISPATINDO-1ffbb085a1828416","GI 150KV ISPATINDO","UPT-SBY","ULTG-28V8Y3","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20ISPATINDO&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-JATIGEDONG-30f1115f86bd204c","GI 150KV JATIGEDONG","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.437281","112.24989169999999","0x2e78161c7738da89:0xe9e230d9c9f42da5","Gardu Induk Jatigedong","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20JATIGEDONG&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-JAYAKERTAS-f94f3f0c9c98a7e6","GI 150KV JAYAKERTAS","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","-7.6111172","112.0895214","0x2e784663f51b2cc9:0xf094f0ab156f28f9","Gardu Induk Jaya Kertas (Jaker)","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20JAYAKERTAS&hl=id&gl=id","candidate"
